"x","y"
1,47.8552157914731
1,51.5836479955739
1,51.7508581979632
1,49.4152740473368
1,50.9203023246045
1,46.1199569071937
1,50.4428568139225
1,51.535350833304
1,51.6022218760639
1,49.8656476703802
2,42.5088483649016
2,43.1443241836726
2,37.952399049745
2,40.4089629324152
2,42.1264142117326
2,41.7905353634839
2,34.7861507160244
2,38.3095555480842
2,42.958651409497
2,38.3609290798034
3,48.379465188651
3,48.6938521529367
3,41.728672623761
3,44.4069218131875
3,48.6264471785291
3,49.3825089397374
3,43.6374777776085
3,44.3187343003553
3,41.8214328979009
3,46.4458217390515
4,53.2572319960604
4,54.8022372265943
4,56.9760923380691
4,63.1493232696953
4,58.2741578043351
4,50.1320618787516
4,50.9619373665387
4,58.5045523529617
4,55.1329129703745
4,60.8676846641016
5,61.9157312108403
5,62.3219723261036
5,59.0318385622405
5,59.6190704217208
5,59.5666424660269
5,56.1679329005552
5,61.2205625748625
5,60.6769536631658
5,61.1331287965258
5,53.7022548199746
